遅くまでお疲れさまでした！アフタートークも頷きっぱなし😌ありがとうございました。おやすみなさい！！そしてお気をつけて,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ありがと！このあだ名大変気に入っております,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
おめでとうございます,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
 たった1万円で琵琶湖のほとりに自分の名前を刻めるなんて素敵やん,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
 るるちゃん、推し増しかな～ww,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
こちらこそありがとうございます✨よろしくお願いします🙏,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
すごく共感しました😄ほんとにその通りですよね！情報がないからこそ心を込めて接したいです(^^)そう言っていただけると嬉しいです,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ねー🐲見えるよね⤴⤴⤴うん便乗して〜❤パワー感じて思わず拝んでしまったわ🙏,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
フォローありがとうございます！ばや。と申します🙇良ければ仲良くしてやってください,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
行ってらっしゃいませ🌊🎶,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
今晩はこの映画観に行くわ,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
受賞ありがとうございます,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
いえ！！！こちらこそフォローありがとうございますぜひ仲良くしてください💕,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
大阪まで頑張って行ったやね‼️ケンカツ仲間いいね,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
聴きました～😅痛かったねー😂赤くなってそう😨お肌のお手入れしっかりね,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
横アリ年始は3日くらい空いてるみたいだけどWESTかなあ？待ち遠しいね！earthのCMおめでとう🎊楽しみだね,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
おかえりなさい,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
シャインさんありがとう,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
タメ大丈夫ですか！ならタメで失礼するねおにちゃん呼び了解ー！！私はなんて呼んだらいいかな？😳✨✨,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
池塘がめっちゃ綺麗で上の方こんなのが続くのでスゴイ足が楽でした(笑)至福のカップラーメン(笑)是非👍,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ホントいつもありがとうです。気をつけますd(^_^o),"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
